,combination,number_of_people,price_per_bag,total_price
65,110111100001100010100000011,60,12.611996336,814.15
66,011100110101101001101010011,60,13.210955957,875.88
67,000110010101101000100111100,60,12.938453431,843.6
68,010111111011000101110001100,60,13.926206021,897.84
69,000111111111001011011010010,60,13.97650613,924.89
70,101100010110001101011001001,60,13.159209925,851.13
71,110100100100110101101001010,60,13.320026844,877.83
72,110110000000110000101100101,60,11.974514037,764.57
73,011110100101000100101000000,60,11.288261247,723.19
74,010011101100110000111001010,60,13.593518813,888.22
75,001010110000101101000001100,60,11.350149436,737.84
76,001101011000010110001011011,60,13.236254687,860.85
77,001101000111100110000000101,60,12.58923389,808.48
78,100101110001111001011010000,60,13.691643091,885.72
79,010011111001111010111000000,60,13.199773287,851.47
80,001110000010000101101001100,60,11.537201723,731.96
81,000100110001010000111011011,60,12.756593403,834.37
82,111000101011001010011101011,60,12.670012741,841.67
83,011011000100100001011001011,60,13.098839827,856.5
84,110100010000110001001011010,60,12.672060574,822.75
85,100010111110010000001100101,60,11.058121086,720.93
86,011010001100100000011111000,60,11.964207581,786.54
87,110010100001000111111001101,60,11.946792088,798.08
88,000001100010111111111100110,60,13.549979848,897.54
89,101101110001010110000100001,60,12.404020771,797.58
90,011011101011010110001111000,60,13.052350944,862.0
91,101011010011001011000110111,60,12.342326444,814.91
92,101001110100110000010100011,60,12.657950121,826.34
93,010011001010100110001010110,60,11.843743175,775.01
94,000011001010011011010100100,60,12.213217732,785.07
95,010110001101111101011110011,60,14.242612216,956.25
96,101111001100001001001010000,60,12.278674901,785.81
97,111001100110010111010000100,60,12.762870996,838.12
98,010001010000110100101000000,60,11.358693628,707.36
99,000100010001001110011100011,60,11.914037186,774.28
100,000010100010011111001111000,60,11.946531435,797.32
101,111011000110010000101000101,60,12.116005677,770.61
102,100011001011001110011001111,60,13.133015266,862.26
103,010111100010011110011100011,60,14.268453035,935.13
104,011001000000111011001100000,60,12.183921767,780.68
105,001111110100010010111000100,60,13.290297467,856.83
106,011000110110001010001010100,60,11.290353139,742.56
107,100111010011010110110111110,60,14.586514278,959.62
108,011011011110100101001010010,60,12.505263137,818.41
109,100110011110001011010101010,60,13.36687121,877.54
110,101100101110111001011000011,60,13.642335881,896.46
111,011010001110000000101011011,60,11.604448743,759.88
112,111010001100110101010011011,60,13.12339237,882.06
113,001111101110101100111010011,60,14.498124396,955.75
114,010110101011001100100011100,60,12.728965125,828.84
115,110101010010101110100011011,60,14.418783217,939.09
116,100001011001110000011111100,60,13.003510877,845.65
117,010100000000110110101101100,60,12.698990468,822.77
118,100100001010101110111001011,60,13.376677848,871.31
119,000011110010100000100101010,60,12.001833333,767.32
120,110001001100100001111001001,60,12.89878857,834.31
121,101010010111100100111110100,60,12.020636364,793.03
122,100000001110010110101010001,60,10.803626377,706.82
123,001001010101010011110100000,60,12.082162663,777.4
124,101101001010111000001011101,60,14.153675167,910.05
125,101100110001001101000010000,60,11.166835827,720.2
126,000011001000101000000011111,60,12.142127038,789.32
127,100101100110000100000101111,60,13.162685489,861.81
128,111110010011000010000100000,60,11.125835982,700.47
129,101110001010100011100011111,60,12.839324949,848.32
130,000011100000100111100011101,60,12.211732564,812.32
131,011000101110010100000101011,60,12.085993561,798.77
132,001100011010011100101000100,60,11.827715751,739.6
133,100110111110110011101010010,60,13.072089464,868.87
134,001110100100100000011111101,60,13.139637329,875.88
135,100110110010110000011000000,60,11.97884232,757.79
136,000111000110110011011001101,60,14.593082821,953.36
137,011000011011111100100110000,60,12.010618646,773.64
138,100011001001100111110110011,60,12.413109337,828.21
139,010011110110110101001111010,60,14.115526961,945.18
140,100010000001010001111110110,60,11.156759104,737.25
141,110001001001001010100101010,60,12.165926882,783.01
142,110101001100011101011111100,60,15.043857165,994.25
143,111110100001000000011101010,60,12.458229501,811.34
144,110010011000001000011111100,60,11.89946921,777.12
145,010000110010111000001000100,60,11.331248366,721.16
146,100011100000110111111111111,60,14.181453969,964.88
147,001101101001101010000010001,60,12.505143576,808.02
148,010000011100111000011000111,60,12.431273047,812.24
149,001011111010101010001100111,60,12.655859963,829.93
150,110110001111000010001100111,60,12.188002077,802.03
151,101011101010000011100011101,60,12.195579034,803.0
152,000001010101010010100000110,60,11.354429077,727.08
153,110000000001110010111101011,60,12.593069048,830.39
154,001010110101001000011010000,60,11.004385547,718.09
155,000000001101111010110110011,60,12.409389449,829.46
156,011011111011101100111100001,60,13.558934037,879.71
157,010111101101000010000000111,60,12.555529855,821.67
158,011001100101001001011011100,60,13.342399436,883.85
159,001111100000100000100011110,60,12.900947755,835.58
160,111110011000011001000100000,60,11.902021307,752.09
161,111111100011010111000001110,60,14.184071277,932.3
162,011010100010110101001011110,60,12.574798245,841.58
163,010000011100111100100010101,60,12.012463523,786.24
164,110110100111011011110111100,60,14.875197985,999.74
165,100001111101101110010110000,60,12.868732438,856.06
166,100111100101000000001101010,60,12.722735994,826.16
167,011000001000000010001010001,60,9.549176256,612.06
168,011110100100101111111001111,60,14.776191406,996.82
169,101011101100111100101011110,60,14.065178169,938.9
170,011000111101110101101000001,60,11.94000745,784.14
171,011110110100100111000111111,60,13.913591033,949.82
172,001101101110110111101010010,60,13.947975827,923.68
173,111011000010101111111101101,60,14.427219301,952.36
174,111100111000110110011101111,60,14.393536433,962.61
175,101010010001111011011011011,60,13.269645071,888.2
176,001110100001111011100101100,60,13.419584348,882.0
177,111011001011110100110111110,60,14.377355574,949.56
178,001001000010001101100001100,60,11.73396888,740.53
179,011111111010110000100101001,60,14.329068841,916.54
180,110100011101101010110111010,60,14.270436686,948.25
181,010011111110101100100000011,60,12.949454419,841.89
182,100110010101110011011000111,60,13.211707821,875.87
183,100100011111110101101111010,60,13.918857982,923.43
184,001101011001011111100110111,60,13.870739982,915.18
185,110101111111101011100110001,60,14.565677848,963.76
186,111000110100011001100000000,60,11.252388698,722.16
187,000000000101000101111001111,60,11.544592352,764.71
188,100011101101111100010001110,60,14.04535133,931.0
189,010001101100010011100110011,60,12.40570971,830.24
190,100011011010000011011000010,60,11.340455477,724.63
191,101011011010011010101100111,60,12.792456368,827.91
192,111111011111111111011110111,60,16.500757839,1111.51
193,111010101110100001001001110,60,12.268058772,814.48
194,100100010011101110101100111,60,12.729842741,831.64
195,111110110001011111001111111,60,14.528502097,987.3
196,111100011111011111000100111,60,13.819275696,917.82
197,000010100010111100101011011,60,12.518402226,829.28
198,101000110100011010011010100,60,11.797171767,782.38
199,100000010001011010011110111,60,11.818633708,786.94
200,101110110111001111001111000,60,13.582501832,910.44
201,100101111111000100100001101,60,13.336534485,860.23
202,101111001110110001110011110,60,15.069105457,989.44
203,000010100110101010101001010,60,11.989804077,788.82
204,001001111100011101011000100,60,12.74290436,829.98
205,110000010100100001101010110,60,11.101597222,730.84
206,100100001110100001000010010,60,11.307636577,731.18
207,010010011011101100111010110,60,12.403274766,814.01
208,111001011000101101000010101,60,12.242971735,794.62
209,010110011111100111101000101,60,12.914640966,847.05
210,110000000011110001001110101,60,11.487236376,754.52
211,100100111111100101100001111,60,13.352992818,884.81
212,011111100100001001011010001,60,13.553122623,886.99
213,101101010111000011011001011,60,14.033011668,915.13
214,011011101100101100011000011,60,13.148424116,865.41
215,110100001101000010010001010,60,12.256566471,796.25
216,011010111010101111101001110,60,13.065396579,869.58
217,010101101001111111001100111,60,14.443802031,961.06
218,110101111111101110001001001,60,14.876917927,975.01
219,110000010110101010101001100,60,12.347637411,800.31
220,010000000000011110111101010,60,12.315285403,806.61
221,110000100110011000001100101,60,11.631979607,760.02
222,000010011100111110110100110,60,12.571943922,833.35
223,011101111010101011111010110,60,14.758930192,972.38
224,001110110000000010100111101,60,11.977864842,787.38
225,010111010100001110010101100,60,14.223091659,925.96
226,100011100010100100010001000,60,11.952972222,763.3
227,001101010100110000101110000,60,12.90915924,823.14
228,111011100011010101010011000,60,13.240034356,867.98
229,100101000111101000100001100,60,13.531110177,858.27
230,001000110111100111010000010,60,11.585955147,768.94
231,100011100111001010010100101,60,12.53540635,824.93
232,011001101100011101111000010,60,13.224473804,866.34
233,111100101111101110010001101,60,14.471109846,961.91
234,010101111010000010100111111,60,13.775480252,906.53
235,011000101111101000110100010,60,12.353891288,809.14
236,010011001001000111101011101,60,12.344928781,816.1
237,100000001100001000000100101,60,9.962607197,637.86
238,110111010101111001011100110,60,15.074456583,988.27
239,110101100011001000001100111,60,13.060902926,843.84
240,111001010101101011011011000,60,13.972242028,922.83
241,011110100111101110101001101,60,14.216066406,942.62
242,011010111010010010111110111,60,12.574383772,842.71
243,001111110111110111010111111,60,16.12915966,1093.42
244,011010111011011101001110001,60,12.253359807,812.71
245,010010111000010000011010010,60,10.980483099,716.05
246,111000110010010001010100010,60,11.399246658,738.62
247,111111001100101000111000000,60,13.626484425,864.59
248,011100100010100101010100011,60,12.484956774,817.34
249,111001001011100001110010000,60,12.093828613,772.04
250,110001111111111011111111111,60,16.171833893,1100.27
251,000011101001000100100101000,60,11.105251773,708.94
252,101001101011100101000010111,60,11.97075033,792.8
253,101010001110011110110000100,60,11.918260841,774.03
254,011110110110011011101100010,60,13.569213317,893.57
255,000010000110010010000101101,60,11.271350794,735.62
256,100101010011100101000000111,60,12.526792632,801.64
257,111111011110001100000111100,60,14.367549901,935.22
258,101011110100101000001101111,60,13.45921401,890.7
259,011100101100000001110111000,60,12.777314607,841.59
260,110111100010110111101010000,60,13.6508615,892.15
261,110111000001010100000100001,60,12.193750149,771.15
262,111110101111011100000001100,60,13.669039164,892.22
263,010100101110110100001011001,60,13.392154699,883.03
264,001101101010100101010100111,60,13.346264102,872.56
265,011110100001110110000011111,60,13.525239025,908.32
266,101100101110101111110000011,60,13.465929291,894.04
267,110010101101011101011001110,60,13.341017996,897.78
268,110010001011010000110001010,60,11.782737067,753.08
269,100110011101111001111001100,60,14.231388911,927.58
270,000111110101100111110111110,60,15.017394063,1014.76
271,101100011001100010111011001,60,12.81068606,833.67
272,010010101011101100110011110,60,13.062580321,870.68
273,110101000011010011001011110,60,13.837653167,906.13
274,100111111000111001011011110,60,15.085783753,996.66
275,010000100010001101010111001,60,12.078528043,801.79
276,100110010110011000010100000,60,12.354776027,783.29
277,000110011110111001110100001,60,13.505838406,871.69
278,000111000011100110011101100,60,13.696713508,887.06
279,001111010000001110001101000,60,12.836696277,817.58
280,111001011010111101011101010,60,14.586886503,951.87
281,111011101101100011101001110,60,13.523762475,903.1
282,100001001100110100100110101,60,12.110256007,792.44
283,001111001101010010000111101,60,13.677439211,899.88
284,000011110110111001100101001,60,13.822549051,901.62
285,110111111000101111100011001,60,14.511590546,957.82
286,011101111001001111010111011,60,14.948588021,1000.63
287,000111011010011110101010111,60,13.719284173,893.35
288,100001111110000010011011101,60,12.905460527,855.91
289,011010111101110110000010100,60,11.943854912,799.45
290,000001101100000001001110100,60,10.870307329,713.5
291,010010111110010011101100111,60,12.278366456,823.31
292,010101111001000110010001010,60,13.284187503,861.35
293,011010001100111101000000010,60,11.744209915,766.03
294,011010010101011111001101000,60,12.686564624,839.12
295,101001110001000101001111010,60,12.035410173,796.71
296,001110101100000001010101101,60,12.501531959,823.88
297,001100001110100001011110000,60,12.112009052,786.52
298,000111000010011100111011110,60,14.397684757,933.64
299,100001000110111001011110100,60,13.291720588,871.86
300,000000001110110101101110111,60,11.970797673,802.42
301,001110001100010101100000111,60,11.860600587,771.37
302,111111011111111011011100000,60,15.385867868,1002.97
303,100001000001000011101101010,60,11.413939815,738.23
304,011111111010111000001001010,60,14.694090751,942.74
305,000110000101111001000010101,60,12.46538822,816.31
306,110100010001110010101001011,60,13.039801075,844.13
307,100101011010011011000010011,60,13.100895285,846.06
308,010010010001100100010101011,60,11.872296717,776.68
309,010000110111100010001000100,60,11.015624339,717.66
310,110010000001110001110001111,60,12.559101456,825.08
311,100001100110010101000001001,60,12.16828598,789.49
312,110011010100100000011110111,60,12.899893939,854.91
313,001110001101011010000010100,60,11.972252788,778.83
314,100110011100010110100010010,60,11.784992242,770.07
315,110000010000100111100011001,60,11.391579786,749.39
316,111001001001010010101100000,60,11.426021579,723.66
317,000010101101110100001101101,60,12.134746086,809.82
318,101101101101000101111111110,60,14.457370163,969.95
319,010110110011110011000111000,60,13.445347611,888.26
320,110000111001101110011111011,60,13.331025187,905.97
321,111011101011101110011110001,60,13.681078217,911.69
322,011011000001111011111001001,60,14.105412928,918.42
323,101001110110111101010101110,60,14.791388698,983.59
324,010011000000101101101111101,60,13.247486376,874.1
325,111000001111100100000111110,60,12.329304803,823.37
326,101010111011111010111110010,60,13.095086238,873.53
327,110111111110001100000010100,60,13.336274649,865.65
328,001110010101000000011111001,60,12.545192885,819.88
329,100111100110011010011100100,60,13.961257509,910.29
330,110010010000000011101011000,60,10.780185847,700.12
331,111100111100000110001010101,60,12.045648362,800.86
332,011011101000000011110100100,60,11.770272396,765.37
333,010110100011111011011101110,60,14.841072985,990.84
334,001010001011000010001000101,60,9.751166335,620.35
335,001110001010010001010011001,60,12.46459265,802.76
336,111111111000111111100000100,60,14.230516677,924.67
337,010001100010011101011110100,60,13.015008287,856.74
338,110110100010101100010000001,60,12.444527926,799.53
339,101111100100100010011110101,60,13.626841033,907.19
340,100111111101001100001001000,60,13.292945284,856.16
341,101100011111110110011101010,60,14.255007573,941.33
342,100010110110011001100101000,60,12.172905112,792.22
343,100010010111000101110000000,60,10.642476191,680.13
344,010010010111101111011001111,60,13.830489683,930.56
345,111101101101000111110110101,60,14.065092806,943.86
346,100100011100101011110100001,60,12.751931816,830.6
347,110101011100111111101110011,60,15.058274253,1003.54
348,110000110111110010001111010,60,13.056397331,879.89
349,010100010111111110100011110,60,14.553906318,965.23
350,111101110000111011100010101,60,14.238765986,932.78
351,000001101100001110100101000,60,12.045708628,784.75
352,011101001010100001101000101,60,12.675680769,799.18
353,111110011110010111010100011,60,13.575776513,898.51
354,001001011101110001001100011,60,12.391563005,806.36
355,010001001101100101000000010,60,11.403811297,735.44
356,001010011111011001101001001,60,12.437603855,803.52
357,101101010000001000011011101,60,13.4076881,859.67
358,011000010010001111000000010,60,10.623825362,681.22
359,100101010100001100011101110,60,13.960471289,908.05
360,110010110001101011111011101,60,13.333092858,898.5
361,110011101100001111000011000,60,12.75732966,850.2
362,100010101110011100001101001,60,12.219342491,805.18
363,100101110001100010111011001,60,13.759520145,898.77
364,101100001111101111111000101,60,13.549470957,892.46
365,011111111010001111101011100,60,14.537971859,955.74
366,111001011000011011011111100,60,13.921419572,918.33
367,000001001010101000001101110,60,12.282862067,786.63
368,101001110111111110000001011,60,14.131986341,934.97
369,011011110000100010101111110,60,13.136919432,873.62
370,000001101001101010001111100,60,12.517186803,827.67
371,110000000000101000010011101,60,11.773541932,766.81
372,111111110001111010100111101,60,15.437252097,1021.14
373,010111010111110001001111101,60,15.119014037,996.14
374,011110101000000101101110111,60,12.108746245,808.65
375,110001011110101111111101101,60,14.880185901,988.27
376,101101110111101110010111000,60,15.165543499,1004.75
377,010100100111010001001100100,60,12.152443511,790.4
378,100011000000100101100010010,60,10.893315476,701.83
379,100010001001111001010000111,60,11.757671856,768.63
380,000001001001110011001000111,60,11.693931933,760.96
381,100111111011101101111110111,60,15.014595176,1001.33
382,101001011111011100011001101,60,13.971576077,907.39
383,001101001101110100100100100,60,12.968067759,828.72
384,100001000100001110010011000,60,12.204397331,796.73
385,000101101010010001010100000,60,12.320496871,779.12
386,000110101111100001110101110,60,13.607126656,902.56
387,111101100000110011110000110,60,13.840571277,901.98
388,111101110100000100010101000,60,13.565080691,876.15
389,001011011001000110110110110,60,11.949823983,785.75
390,101011001111010110000110001,60,12.186998852,801.41
391,001001111000110100001010011,60,11.909846735,777.44
392,111110010110100111010101101,60,14.220636668,944.6
393,010110111111110001111100100,60,13.945820284,916.09
394,000010001101111101011110000,60,12.244083472,814.77
395,100111010011111001100110011,60,14.123842586,916.75
396,001011010100101011101001010,60,13.049884885,850.34
397,110100110111101101111000111,60,14.231726339,945.92
398,110000010110111101110001010,60,13.576196779,889.47
399,110100100110110001011001010,60,13.843235177,909.63
400,101101010110000001011011100,60,13.612701723,880.17
401,011100101011101011111111010,60,14.568235748,975.05
402,100010110011111101111001010,60,13.370901144,881.88
403,011001111000011011001100101,60,12.61667859,825.06
404,111111111100001110001111111,60,15.132161433,1020.8
405,011001101010011011001011010,60,13.35418346,881.31
406,011110001010011010001111010,60,13.384540487,876.74
407,000100001101111100010110101,60,13.202417771,872.2
408,010110110110001100101000000,60,12.060860177,769.67
409,100100001011001011101010110,60,11.847988273,773.68
410,011000111011110000010100010,60,11.888415098,769.64
411,110110100000110010110011111,60,13.882394328,927.82
412,010110000011000011010001000,60,11.992588508,766.26
413,110110110011101100000011011,60,13.570926736,895.78
414,011000101011100011001110101,60,11.486065145,770.44
415,111101111001111010100000100,60,13.855433344,888.4
416,011001101011101101000101110,60,13.530845653,891.89
417,010110010100101010000010100,60,12.147962691,789.71
418,000111001110111111111010101,60,15.051635364,996.27
419,110111101111100100000010000,60,13.025817133,845.65
420,111011001001100010001101000,60,12.166827952,783.02
421,001001011000100000100000001,60,10.451948743,642.28
422,011101100000111011101001110,60,14.736973237,964.67
423,011001010101101011110100010,60,13.344287663,873.76
424,110101001001111000110011001,60,14.665483248,944.55
425,101110010001111100011100011,60,13.291413473,864.85
426,100100001100011000010111001,60,13.021403882,850.27
427,100011101111001001101011001,60,13.009728229,857.6
428,110100000010011111111010100,60,13.122138461,858.46
429,010000110000110110010000010,60,11.25941122,734.94
430,100010000101100110011011011,60,12.15313931,821.38
431,111100010010000110111101110,60,13.251099871,864.61
432,000100001100110001001010000,60,11.369163538,731.24
433,111111111011101011010101010,60,15.457920272,1017.72
434,101011011001011100001011100,60,12.744354757,824.82
435,000001111001100101011001001,60,12.447409601,809.63
436,101111000011101010111100000,60,13.54340461,862.69
437,001000000100010001011011100,60,11.491177213,754.07
438,000100101101000011100111101,60,12.380831442,831.29
439,110011100000000010001010001,60,10.768885342,698.83
440,010010010111111010100001111,60,13.468933311,888.98
441,000110101101011111011010101,60,13.384190919,903.89
442,011110100101110011110100010,60,13.566311356,902.19
443,011110111101100101000010000,60,12.195870163,802.19
444,111100001101110111101000110,60,13.143368685,869.06
445,000111111111110000010101101,60,14.957464223,977.36
446,110101100010100011011011110,60,14.421640095,957.13
447,110101100010001111111110011,60,14.265033217,949.42
448,011000110000110000100110111,60,11.579303296,764.64
449,011101001100011110001000000,60,13.005673423,829.5
450,110111011110010010101100010,60,13.575454543,873.65
451,001100011001010001011010111,60,12.209564873,797.6
452,100111000111010010110000011,60,13.370818932,861.25
453,000100110101111110000010101,60,12.92414748,860.2
454,011000110100010101011100111,60,12.24671401,821.72
455,010100110101000100101111111,60,13.170959299,884.23
456,001101101011011000100110110,60,13.383906227,866.6
457,001110111011011111101000001,60,12.793605061,831.67
458,101000111001111100001001111,60,12.613447109,834.09
459,011111111110110011000001000,60,14.558577018,945.66
460,101100100111000010001011010,60,12.249530427,810.75
461,001011110101101111010000011,60,13.230042714,881.63
462,001000100010101010110110110,60,11.798446393,783.86
463,000010111101111001110001101,60,13.328745269,883.24
464,111010110001000110111101110,60,12.426103956,831.18
465,010011101101001100110100100,60,12.60643548,823.55
466,110000010011010011010100101,60,11.551416271,752.52
467,011001101010011101000101101,60,13.35618322,872.69
468,010000000101011100101110110,60,11.801720588,783.44
469,101110010101110101000011011,60,13.442483734,893.02
470,010011101010010010110101101,60,13.341848599,871.9
471,100011001111000000100011010,60,11.86216844,765.8
472,101001101011000010011011011,60,12.606190145,833.89
473,110000101011011111010000001,60,11.95475056,786.1
474,000000011111011000001010011,60,11.350907967,738.84
475,011001100010111101000101000,60,13.362315285,865.31
476,101010100010011101000011011,60,12.102621923,805.16
477,101011100100000001110100101,60,11.834103716,773.45
478,111011001110110011000010010,60,12.834660468,844.81
479,001101010001111000011111100,60,14.624557232,946.31
480,011110101101011111100000100,60,13.017076201,858.19
481,101001011100111110101111101,60,14.302914701,953.01
482,001011000011101010100101101,60,12.886177634,832.02
483,000110111110110101011100110,60,13.566403617,901.47
484,100000101001111101110010110,60,12.207023949,816.14
485,110010100001000111101100100,60,10.558925926,699.03
486,100100111111111001011100001,60,13.831685628,907.98
487,101111111100010001111111000,60,14.574091568,958.48
488,101100111010011100111100100,60,12.989965751,836.58
489,010101110001110101110110100,60,14.119949463,926.1
490,001011000000101000010011000,60,12.103770467,771.26
491,010110000101000111011000111,60,12.390014193,824.25
492,010011110011101100111011110,60,14.361161881,950.68
493,000111001000001000111111101,60,13.594622953,879.48
494,000001010011100111111101100,60,13.10524537,854.63
495,000000101101001101011111100,60,12.228750956,826.75
496,011100001101100111010001100,60,13.21350839,870.17
497,111100000010111011010101111,60,14.623006066,966.41
498,100110011100110000001000111,60,12.134422557,784.87
499,101010100100010110101101000,60,11.578801552,765.32
500,011100010110111101011001100,60,14.632856835,953.55
501,010111100011111000001001000,60,14.112577614,899.26
502,010011100101010101011110000,60,12.697318628,844.55
503,111011011000111000000000011,60,12.419752664,789.31
504,000011011000010100100100101,60,11.126631007,703.65
505,101001010111100010111001100,60,13.24403848,856.43
506,001111000110100010001110101,60,13.032035477,851.59
507,101100011001011100011101011,60,13.512956913,879.83
508,011010111001100101100101010,60,11.972679803,790.2
509,101110001100101101011011001,60,13.635777174,903.44
510,010011010001101010011110000,60,12.563532252,816.47
511,000100011000011000000101101,60,12.059709438,765.79
512,110100010100000000001011001,60,11.769737077,758.05
513,001100111111111111100011110,60,14.80385001,996.35
514,000011010110001010111111011,60,13.713444048,908.2
515,110110111101001110000110111,60,13.123108403,889.23
516,100111011101101110110111011,60,15.378413959,1026.12
517,011000111100111010010100000,60,12.398038619,813.18
518,111101110100101111111010011,60,15.118367994,1012.44
519,011110011011100011000100111,60,12.565578917,822.45
520,000110100010111110110110110,60,13.605971794,906.97
521,000000001000011011011001011,60,11.755361671,769.63
522,110101010100011000011001010,60,14.352914916,920.25
523,101100011110100010100101010,60,12.750313946,825.75
524,010001100101110010100001000,60,12.695720744,822.95
525,001101100011011110110011010,60,14.623066491,958.85
526,011101110011110100111010111,60,14.832160322,974.34
527,000000000001100101010011110,60,11.231746032,743.83
528,010000001000000101100110010,60,9.87230336,641.94
529,110100100111011011010110000,60,13.465600763,895.38
530,001111101010001101011001000,60,13.601855457,872.96
531,010100101111001101010001000,60,13.199070284,860.65
532,101101111000100110010100101,60,13.081092806,851.58
533,011001011001011110001100100,60,12.324020762,793.26
534,011010000101011000000000010,60,10.892999809,696.45
535,000111011000101010111101101,60,14.333802848,927.48
536,100111110110110001101000000,60,13.285985177,848.29
537,010011011100001101000100010,60,11.895116035,770.13
538,001010101110101110001110100,60,11.84063269,796.05
539,000001010000111000101101110,60,12.871678922,825.25
540,110100000011111110110001110,60,14.327822985,936.71
541,010111110101000111001110100,60,13.22618573,882.29
542,111010010100100111000111011,60,12.523553451,850.06
543,110000101101111110101101010,60,13.358318922,898.09
544,101101111111100101010011100,60,14.652800718,967.75
545,100011101111110111110011100,60,14.348551882,964.8
546,100101100010000110101000010,60,11.743602397,748.26
547,011011000111000100110001010,60,12.834737554,827.08
548,110111100011110011101110100,60,14.109403167,930.57
549,000101010100100010010110101,60,12.995107447,848.62
550,111101000010010111011001100,60,14.120099054,912.03
551,000000011000101010010110101,60,11.136441853,730.38
552,000110011011001111111011010,60,13.484016051,889.64
553,010110110101110111111110010,60,14.183657135,960.87
554,010101100010110000100011000,60,13.438574463,856.57
555,010101011110001101100011110,60,14.346719093,937.23
556,110110101001010110111110000,60,12.673724384,838.77
557,011011010010011101100000101,60,12.542973114,797.71
558,101110010110101100001010000,60,12.241714795,787.77
559,011000110101101000001001101,60,12.306436232,807.23
560,001011011111101011110011111,60,14.714609963,984.1
561,100001100010000000000000001,60,9.877699495,611.74
562,100110001010000111001111001,60,12.031244141,793.42
563,100100111101100001110001001,60,12.941520596,844.27
564,001010101111100111001010011,60,11.655749669,793.01
565,011000011000011111001011000,60,11.942294572,782.93
566,111010001110101111001011001,60,12.975304407,869.86
567,000001001000110111000111001,60,12.334427964,812.63
568,111011111100101011000101111,60,14.243336153,957.48
569,101111010001001100110111101,60,14.193882544,923.94
570,101010000001111101100000000,60,10.935773619,696.15
571,011001100010101000010110111,60,13.068969962,861.02
572,111111010101110010000010101,60,13.835742994,903.97
573,111101111101000110110011111,60,14.924190028,1000.11
574,000010001110011010011101010,60,12.535013367,824.82
575,000001111011101100000110000,60,11.810302543,761.96
576,000100100100000111000111101,60,12.095871336,815.87
577,010111111000101011010001001,60,14.376691736,935.26
578,100111000110010011110110010,60,13.65122658,895.87
579,110011100000110111111000011,60,13.117180159,868.99
